Municipios;Nome;Populacao;Area;Densidade
1;Aceguá;4394;2,84;1547,18
2;Água Santa;3722;12,76;291,69
3;Agudo;16722;31,19;536,13
4;Ajuricaba;7255;22,44;323,31
5;Alecrim;7045;22,38;314,79
6;Alegrete;77653;9,95;7804,32
7;Alegria;4301;24,91;172,66
8;Almirante Tamandaré do Sul;2067;7,79;265,34
9;Alpestre;8027;24,73;324,59
10;Alto Alegre;1848;16,15;114,43
11;Alto Feliz;2917;36,84;79,18
12;Alvorada;195673;2743,94;71,31
13;Amaral Ferrador;6353;12,54;506,62
14;Ametista do Sul;7323;78,33;93,49
15;André da Rocha;1216;3,75;324,27
16;Anta Gorda;6073;25;242,92
17;Antônio Prado;12833;36,92;347,59
18;Arambaré;3693;7,11;519,41
19;Araricá;4864;137,83;35,29
20;Aratiba;6565;19,17;342,46
21;Arroio do Meio;18783;118,91;157,96
22;Arroio do Padre;2730;21,96;124,32
23;Arroio do Sal;7740;64,01;120,92
24;Arroio do Tigre;12648;39,74;318,27
25;Arroio dos Ratos;13606;31,94;425,99
26;Arroio Grande;18470;7,35;2512,93
27;Arvorezinha;10225;37,64;271,65
28;Augusto Pestana;7096;20,42;347,50
29;Áurea;3665;23,15;158,32
30;Bagé;116794;28,52;4095,16
31;Balneário Pinhal;10856;104,63;103,76
32;Barão;5741;46,12;124,48
33;Barão de Cotegipe;6529;25,1;260,12
34;Barão do Triunfo;7018;16,08;436,44
35;Barra do Guarita;3089;47,98;64,38
36;Barra do Quaraí;4012;3,8;1055,79
37;Barra do Ribeiro;12572;17,25;728,81
38;Barra do Rio Azul;2003;13,61;147,17
39;Barra Funda;2367;39,43;60,03
40;Barracão;5357;10,37;516,59
41;Barros Cassal;11133;17,16;648,78
42;Benjamin Constant do Sul;2307;17,43;132,36
43;Bento Gonçalves;107278;280,86;381,96
44;Boa Vista das Missões;2114;10,85;194,84
45;Boa Vista do Buricá;6574;60,46;108,73
46;Boa Vista do Cadeado;2441;3,48;701,44
47;Boa Vista do Incra;2425;4,82;503,11
48;Boa Vista do Sul;2776;29,42;94,36
49;Bom Jesus;11519;4,39;2623,92
50;Bom Princípio;11789;133,2;88,51
51;Bom Progresso;2328;26,23;88,75
52;Bom Retiro do Sul;11472;112,11;102,33
53;Boqueirão do Leão;7673;28,91;265,41
54;Bossoroca;6884;4,27;1612,18
55;Bozano;2200;10,94;201,10
56;Braga;3702;28,7;128,99
57;Brochier;4675;43,8;106,74
58;Butiá;20406;27,13;752,16
59;Caçapava do Sul;33690;11,06;3046,11
60;Cacequi;13676;5,77;2370,19
61;Cachoeira do Sul;83827;22,44;3735,61
62;Cachoeirinha;118278;2687,04;44,02
63;Cacique Doble;4868;23,87;203,94
64;Caibaté;4954;19,08;259,64
65;Caiçara;5071;26,8;189,22
66;Camaquã;62764;37,37;1679,53
67;Camargo;2592;18,77;138,09
68;Cambará do Sul;6542;5,41;1209,24
69;Campestre da Serra;3247;6,04;537,58
70;Campina das Missões;6117;27,09;225,80
71;Campinas do Sul;5506;19,94;276,13
72;Campo Bom;60074;992,79;60,51
73;Campo Novo;5459;24,58;222,09
74;Campos Borges;3494;15,42;226,59
75;Candelária;30171;31,96;944,02
76;Cândido Godói;6535;26,54;246,23
77;Candiota;8771;9,39;934,08
78;Canela;39229;154,58;253,78
79;Canguçu;53259;15,11;3524,75
80;Canoas;323827;2470,15;131,10
81;Canudos do Vale;1807;22,06;81,91
82;Capão Bonito do Sul;1754;3,33;526,73
83;Capão da Canoa;42040;432,96;97,10
84;Capão do Cipó;3104;3,08;1007,79
85;Capão do Leão;24298;30,94;785,33
86;Capela de Santana;11612;63,19;183,76
87;Capitão;2636;35,64;73,96
88;Capivari do Sul;3890;9,42;412,95
89;Caraá;7312;24,84;294,36
90;Carazinho;59317;89,19;665,06
91;Carlos Barbosa;25192;110,17;228,66
92;Carlos Gomes;1607;19,33;83,14
93;Casca;8651;31,83;271,79
94;Caseiros;3007;12,76;235,66
95;Catuípe;9323;15,98;583,42
96;Caxias do Sul;435564;264,89;1644,32
97;Centenário;2965;22,07;134,35
98;Cerrito;6402;14,17;451,80
99;Cerro Branco;4454;28,05;158,79
100;Cerro Grande;2417;32,91;73,44
101;Cerro Grande do Sul;10268;31,61;324,83
102;Cerro Largo;13289;74,79;177,68
103;Chapada;9377;13,71;683,95
104;Charqueadas;35320;163,13;216,51
105;Charrua;3471;17,52;198,12
106;Chiapetta;4044;10,2;396,47
107;Chuí;5917;29,21;202,57
108;Chuvisca;4944;22,42;220,52
109;Cidreira;12668;51,52;245,89
110;Ciríaco;4922;17,97;273,90
111;Colinas;2420;41,46;58,37
112;Colorado;3550;12,44;285,37
113;Condor;6552;14,08;465,34
114;Constantina;9752;48,04;203,00
115;Coqueiro Baixo;1528;13,61;112,27
116;Coqueiros do Sul;2457;8,92;275,45
117;Coronel Barros;2459;15,09;162,96
118;Coronel Bicaco;7748;15,74;492,25
119;Coronel Pilar;1725;16,36;105,44
120;Cotiporã;3917;22,72;172,40
121;Coxilha;2826;6,68;423,05
122;Crissiumal;14084;38,89;362,15
123;Cristal;7280;10,68;681,65
124;Cristal do Sul;2826;28,92;97,72
125;Cruz Alta;62821;46,18;1360,35
126;Cruzaltense;2141;12,83;166,87
127;Cruzeiro do Sul;12320;79,2;155,56
128;David Canabarro;4683;26,77;174,93
129;Derrubadas;3190;8,83;361,27
130;Dezesseis de Novembro;2866;13,22;216,79
131;Dilermando de Aguiar;3064;5,1;600,78
132;Dois Irmãos;27572;423,17;65,16
133;Dois Irmãos das Missões;2157;9,56;225,63
134;Dois Lajeados;3278;24,58;133,36
135;Dom Feliciano;14380;10,6;1356,60
136;Dom Pedrito;38898;7,49;5193,32
137;Dom Pedro de Alcântara;2550;32,63;78,15
138;Dona Francisca;3401;29,74;114,36
139;Doutor Maurício Cardoso;5313;21,03;252,64
140;Doutor Ricardo;2030;18,72;108,44
141;Eldorado do Sul;34343;67,38;509,69
142;Encantado;20510;147,38;139,16
143;Encruzilhada do Sul;24534;7,33;3347,07
144;Engenho Velho;1527;21,45;71,19
145;Entre-Ijuís;8938;16,17;552,75
146;Entre Rios do Sul;3080;25,65;120,08
147;Erebango;2970;19,4;153,09
148;Erechim;96087;223,11;430,67
149;Ernestina;3088;12,91;239,19
150;Erval Grande;5163;18,07;285,72
151;Erval Seco;7878;21,65;363,88
152;Esmeralda;3168;3,82;829,32
153;Esperança do Sul;3272;22,05;148,39
154;Espumoso;15240;19,46;783,14
155;Estação;6011;59,95;100,27
156;Estância Velha;42574;816,42;52,15
157;Esteio;80755;2917,87;27,68
158;Estrela;30619;166,25;184,17
159;Estrela Velha;3628;12,88;281,68
160;Eugênio de Castro;2798;6,67;419,49
161;Fagundes Varela;2579;19,2;134,32
162;Farroupilha;63635;176,57;360,40
163;Faxinal do Soturno;6672;39,27;169,90
164;Faxinalzinho;2567;17,9;143,41
165;Fazenda Vilanova;3697;43,6;84,79
166;Feliz;12359;129,59;95,37
167;Flores da Cunha;27126;99,2;273,45
168;Floriano Peixoto;2018;11,98;168,45
169;Fontoura Xavier;10719;18,37;583,51
170;Formigueiro;7014;12,05;582,07
171;Forquetinha;2479;26,49;93,58
172;Fortaleza dos Valos;4575;7,03;650,78
173;Frederico Westphalen;28843;108,85;264,98
174;Garibaldi;30689;181,34;169,23
175;Garruchos;3234;4,04;800,50
176;Gaurama;5862;28,7;204,25
177;General Câmara;8447;16,56;510,08
178;Gentil;1677;9,11;184,08
179;Getúlio Vargas;16154;56,37;286,57
180;Giruá;17075;19,95;855,89
181;Glorinha;6891;21,29;323,67
182;Gramado;32273;135,7;237,83
183;Gramado dos Loureiros;2269;17,27;131,38
184;Gramado Xavier;3970;18,25;217,53
185;Gravataí;255660;551,59;463,50
186;Guabiju;1598;10,77;148,38
187;Guaíba;95204;252,57;376,94
188;Guaporé;22814;76,64;297,68
189;Guarani das Missões;8115;27,93;290,55
190;Harmonia;4254;95,04;44,76
191;Herval;6753;3,84;1758,59
192;Herveiras;2954;24,97;118,30
193;Horizontina;18348;78,92;232,49
194;Hulha Negra;6043;7,34;823,30
195;Humaitá;4919;36,57;134,51
196;Ibarama;4371;22,63;193,15
197;Ibiaçá;4710;13,5;348,89
198;Ibiraiaras;7171;23,85;300,67
199;Ibirapuitã;4061;13,23;306,95
200;Ibirubá;19310;31,79;607,42
201;Igrejinha;31660;233,03;135,86
202;Ijuí;78915;114,51;689,15
203;Ilópolis;4102;35,22;116,47
204;Imbé;17670;448,53;39,40
205;Imigrante;3023;41,21;73,36
206;Independência;6618;18,52;357,34
207;Inhacorá;2267;19,87;114,09
208;Ipê;6016;10,04;599,20
209;Ipiranga do Sul;1944;12,31;157,92
210;Iraí;8078;44,64;180,96
211;Itaara;5010;28,96;173,00
212;Itacurubi;3441;3,07;1120,85
213;Itapuca;2344;12,72;184,28
214;Itaqui;38159;11,21;3404,01
215;Itati;2584;12,49;206,89
216;Itatiba do Sul;4171;19,65;212,26
217;Ivorá;2156;17,54;122,92
218;Ivoti;19874;314,71;63,15
219;Jaboticaba;4098;32;128,06
220;Jacuizinho;2507;7,41;338,33
221;Jacutinga;3633;20,26;179,32
222;Jaguarão;27931;13,6;2053,75
223;Jaguari;11473;17,04;673,30
224;Jaquirana;4177;4,6;908,04
225;Jari;3575;4,17;857,31
226;Jóia;8331;6,74;1236,05
227;Júlio de Castilhos;19579;10,15;1928,97
228;Lagoa Bonita do Sul;2662;24,53;108,52
229;Lagoa dos Três Cantos;1598;11,53;138,59
230;Lagoa Vermelha;27525;21,78;1263,77
231;Lagoão;6185;16,12;383,68
232;Lajeado;71445;793,07;90,09
233;Lajeado do Bugre;2487;36,61;67,93
234;Lavras do Sul;7679;2,95;2603,05
235;Liberato Salzano;5780;23,53;245,64
236;Lindolfo Collor;5227;158,44;32,99
237;Linha Nova;1624;25,48;63,74
238;Maçambará;4738;2,82;1680,14
239;Machadinho;5510;16,45;334,95
240;Mampituba;3003;19,02;157,89
241;Manoel Viana;7072;5,09;1389,39
242;Maquiné;6905;11,11;621,51
243;Maratá;2527;31,13;81,18
244;Marau;36364;56;649,36
245;Marcelino Ramos;5134;22,35;229,71
246;Mariana Pimentel;3768;11,15;337,94
247;Mariano Moro;2210;22,33;98,97
248;Marques de Souza;4068;32,5;125,17
249;Mata;5111;16,39;311,84
250;Mato Castelhano;2470;10,36;238,42
251;Mato Leitão;3865;84,2;45,90
252;Mato Queimado;1799;15,69;114,66
253;Maximiliano de Almeida;4911;23,56;208,45
254;Minas do Leão;7631;17,98;424,42
255;Miraguaí;4855;37,24;130,37
256;Montauri;1542;18,79;82,06
257;Monte Alegre dos Campos;3102;5,64;550,00
258;Monte Belo do Sul;2670;39,05;68,37
259;Montenegro;59415;140,13;424,00
260;Mormaço;2749;18,81;146,15
261;Morrinhos do Sul;3182;19,23;165,47
262;Morro Redondo;6227;25,45;244,68
263;Morro Reuter;5676;64,76;87,65
264;Mostardas;12124;6,11;1984,29
265;Muçum;4791;43,2;110,90
266;Muitos Capões;2988;2,49;1200,00
267;Muliterno;1813;16,31;111,16
268;Não-Me-Toque;15936;44,06;361,69
269;Nicolau Vergueiro;1721;11,04;155,89
270;Nonoai;12074;25,75;468,89
271;Nova Alvorada;3182;21,3;149,39
272;Nova Araçá;4001;53,81;74,35
273;Nova Bassano;8840;41,77;211,64
274;Nova Boa Vista;1960;20,8;94,23
275;Nova Bréscia;3184;30,97;102,81
276;Nova Candelária;2751;28,12;97,83
277;Nova Esperança do Sul;4671;24,46;190,96
278;Nova Hartz;18346;293,26;62,56
279;Nova Pádua;2450;23,73;103,24
280;Nova Palma;6342;20,23;313,49
281;Nova Petrópolis;19045;65,38;291,30
282;Nova Prata;22830;88,23;258,76
283;Nova Ramada;2437;9,57;254,65
284;Nova Roma do Sul;3343;22,43;149,04
285;Nova Santa Rita;22716;104,26;217,88
286;Novo Barreiro;3978;32,19;123,58
287;Novo Cabrais;3855;20,05;192,27
288;Novo Hamburgo;238940;1067,55;223,82
289;Novo Machado;3925;17,95;218,66
290;Novo Tiradentes;2277;30,2;75,40
291;Novo Xingu;1757;21,8;80,60
292;Osório;40906;61,65;663,52
293;Paim Filho;4243;23,29;182,18
294;Palmares do Sul;10969;11,56;948,88
295;Palmeira das Missões;34328;24,18;1419,69
296;Palmitinho;6920;48,04;144,05
297;Panambi;38058;77,53;490,88
298;Pantano Grande;9895;11,76;841,41
299;Paraí;6812;56,57;120,42
300;Paraíso do Sul;7336;21,71;337,91
301;Pareci Novo;3511;61,16;57,41
302;Parobé;51502;474,03;108,65
303;Passa Sete;5154;16,92;304,61
304;Passo do Sobrado;6011;22,67;265,15
305;Passo Fundo;184826;235,92;783,43
306;Paulo Bento;2196;14,8;148,38
307;Paverama;8044;46,8;171,88
308;Pedras Altas;2212;1,61;1373,91
309;Pedro Osório;7811;12,83;608,81
310;Pejuçara;3973;9,59;414,29
311;Pelotas;328275;203,89;1610,06
312;Picada Café;5182;60,86;85,15
313;Pinhal;2513;36,84;68,21
314;Pinhal da Serra;2130;4,86;438,27
315;Pinhal Grande;4471;9,37;477,16
316;Pinheirinho do Vale;4497;42,58;105,61
317;Pinheiro Machado;12780;5,68;2250,00
318;Pinto Bandeira;3003;;#DIV/0!
319;Pirapó;2757;9,45;291,75
320;Piratini;19841;5,61;3536,72
321;Planalto;10524;45,67;230,44
322;Poço das Antas;2017;31;65,06
323;Pontão;3857;7,63;505,50
324;Ponte Preta;1750;17,52;99,89
325;Portão;30920;193,38;159,89
326;Porto Alegre;1409351;2837,53;496,68
327;Porto Lucena;5413;21,65;250,02
328;Porto Mauá;2542;24,08;105,56
329;Porto Vera Cruz;1852;16,3;113,62
330;Porto Xavier;10558;37,64;280,50
331;Pouso Novo;1875;17,6;106,53
332;Presidente Lucena;2484;50,26;49,42
333;Progresso;6163;24,09;255,83
334;Protásio Alves;2000;11,57;172,86
335;Putinga;4141;20,19;205,10
336;Quaraí;23021;7,31;3149,25
337;Quatro Irmãos;1775;6,62;268,13
338;Quevedos;2710;4,99;543,09
339;Quinze de Novembro;3653;16,33;223,70
340;Redentora;10222;33,77;302,69
341;Relvado;2155;17,46;123,42
342;Restinga Sêca;15849;16,58;955,91
343;Rio dos Índios;3616;15,37;235,26
344;Rio Grande;197228;72,79;2709,55
345;Rio Pardo;37591;18,33;2050,79
346;Riozinho;4330;18,07;239,62
347;Roca Sales;10284;49,29;208,64
348;Rodeio Bonito;5743;69,03;83,20
349;Rolador;2546;8,63;295,02
350;Rolante;19485;65,91;295,63
351;Ronda Alta;10221;24,37;419,41
352;Rondinha;5518;21,88;252,19
353;Roque Gonzales;7203;20,78;346,63
354;Rosário do Sul;39707;9,09;4368,21
355;Sagrada Família;2595;33,16;78,26
356;Saldanha Marinho;2869;12,95;221,54
357;Salto do Jacuí;11880;23,41;507,48
358;Salvador das Missões;2669;28,38;94,05
359;Salvador do Sul;6747;67,59;99,82
360;Sananduva;15373;30,47;504,53
361;Santa Bárbara do Sul;8829;9,05;975,58
362;Santa Cecília do Sul;1655;8,3;199,40
363;Santa Clara do Sul;5697;65,75;86,65
364;Santa Cruz do Sul;118374;161,4;733,42
365;Santa Margarida do Sul;2352;2,46;956,10
